Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
GTEX-14ICK-2426-SM-6EU27	0.0566682305320861	0	0.000951124263387287	0	0	0.0915400461507833	0	0.100396023610835	0	0	0.0177173975227422	0.0300274260230756	0.184324507224392	0.00435636195398206	0	0.256047931335111	0	0.0696431682363648	0.153424073801055	0	0	0.0349037093461867	0.497	0.0151869921759262	1.06725358578778	1.027
GTEX-14LLW-0626-SM-62LFC	0.263122197400934	0.0624591578900566	0	0.176674484677252	0	0.0321600657895137	0	0.205345040284002	0	0	0.0426851626403888	0.00300031882189972	0.0250634117988092	0.0214396866053356	0.0114518940304458	0.0728742274884518	0	0.00794355563592545	0.0303254319775558	0.0454553649594295	0	0	0.026	0.203021549842411	1.02572098486683	3.218
GTEX-14PHY-1926-SM-5YY95	0.0947156349557175	0	0.129561173547209	0.0996413725758063	0	0.16654080232917	0	0.103946977381788	0	0	0.0241827169009412	0.0198575734667829	0.0344574274549236	0	0.0129706663508279	0.215008646666367	0	0	0.0921431637303514	0	0	0.00697384464011558	0.023	0.207859955528614	1.00116299473468	3.614
GTEX-14PJ4-2126-SM-6ETZJ	0.0472626909427576	0	0.00132359886129064	0.0197388373103851	0	0.144870632649556	0	0.00779578355953829	0	0	0.0241162533835149	0.0235111203490747	0.147673998670695	0	0.0516925144321569	0.421804978574734	0	0	0.109450984545514	0	0	0.000758606720782548	0.09	0.119306527491208	1.03827588220663	1.3385
GTEX-14PJO-0726-SM-69LO8	0.0497888157544047	0	0.00109960957689838	0.0588460939219831	0	0.258277927650295	0	0.0298773379356595	0	0	0.0435672540728488	0	0.215634759615961	0	0.0106817811279516	0.166971797808795	0	0	0.154610964941299	0	0	0.0106436575939033	0.361	0.0357870550364088	1.06476018511714	1.3455
GTEX-14PKU-0426-SM-6EU1P	0.192608871321723	0	0.0469534483113281	0.0782470284881761	0	0.123674540701232	0	0.0842518641082585	0	0	0.015189852819976	0.0286942370380725	0.0421756991276386	0	0.0398060179556313	0.180393635707306	0	0	0.168004804420658	0	0	0	0.113	0.0992947539033552	1.04357020264722	1.9425
GTEX-14PN4-0626-SM-62LFP	0.0197775041117059	0	0.00326758158371103	0.0552611008198675	0	0.0782310741775417	0	0.0790031250544626	0	0	0.0750583465403751	0	0.14437814999602	0	0.0264993794995104	0.285837867156319	0	0	0.230329619292687	0.00235625176779949	0	0	0.284	0.0496286828831449	1.05977852240004	1.6235
GTEX-15DCZ-0726-SM-69LOV	0.214987106988676	0	0.0440729850295969	0.22222751050387	0	0.0706305087934929	0	0.0522077246704491	0	0	0.0320767194573429	0.00752477784712448	0.0194772784384768	0	0	0.131016248947269	0	0.00826112302012558	0.168912496924846	0.0286055193787301	0	0	0.12	0.0962767187386166	1.05820302716154	3.26
GTEX-15EOM-5019-SM-793DK	0.0679529862627741	0	0.0100705785669376	0.0520617705209919	0	0.0927821953298996	0	0.103874010102372	0	0	0	0.0802133821190173	0.0374434208022392	0.116310337369821	0.0433986261303302	0.232465216124711	0	0	0.163427476670906	0	0	0	0.214	0.0639918361559018	1.05242524971143	1.912
GTEX-15ER7-1626-SM-6PAMZ	0.177064368304131	0	0.0755255366449454	0.27727980961226	0	0.120028545097257	0	0.117437689901549	0	0	0	0.0907001374192773	0.025688140807618	0	0	0.0568004791413721	0	0.00805525536353155	0.0487136022711502	0.00270643543690841	0	0	0.028	0.196855187030218	1.03576094543768	3.7985
GTEX-15ETS-0626-SM-7KUMX	0.149394247668282	0	0.0351980547265341	0.144371662182248	0	0.154241715529009	0	0.0737912639004445	0	0	0.0184197465054125	0.0201949389248098	0.0233512021563877	0	0.0093628443300106	0.216230674555436	0	0.0184718055082788	0.136971844013146	0	0	0	0.112	0.0994514270666276	1.04338166694773	2.727
GTEX-15FZZ-0726-SM-7KUFZ	0.0234438564788695	0	0.101987742206684	0.215137690681568	0	0.0177783788945906	0	0.138215701337444	0.0143023845206291	0	0.0137359794978095	0.0715317237305038	0.0964737212180928	0	0.0119877676289053	0.200060150916343	0	0	0.0953449028885604	0	0	0	0.028	0.195562396812555	1.00584864390639	3.2335
GTEX-15G19-2126-SM-6M48J	0.0463437456111371	0	0.00654410009580116	0.0913364823002037	0	0.0467625222619388	0	0.0776805467331783	0	0	0.0653407172415105	0.0871379753939604	0.035973087274478	0	0.251962555945011	0.177814571931723	0	0	0.113103695211059	0	0	0	0.027	0.198612922805701	1.03448299420263	2.4985
GTEX-15RJE-2626-SM-7KFT1	0.0192447119820156	0	0	0	0	0.146397905659358	0	0.0022667496460298	0	0	0.190866890415656	0.0030389784763038	0.30724403805166	0.0176576424622192	0.0300324327726212	0.150391693891667	0	0	0.107406133397851	0	0	0.0254528232446181	0.189	0.0697565701241401	1.06370113539234	1.125
GTEX-15SHW-1326-SM-6PAL8	0.0906397759738556	0	0.00987582670912565	0.412307956621819	0	0.0838728184335181	0.00421044413850665	0.0545602381498936	0	0	0.0826049238311379	0.0481313915431614	0.0678870269022334	0	0.0844639255094898	0.0204277200835231	0.00330135916055746	0	0	0.0377165929431776	0	0	0.00600000000000001	0.366283984773095	0.950682743631099	4.2665
GTEX-15UF6-0126-SM-6PAMB	0.114759552125067	0	0.0140592725416305	0.056423813944037	0.0673541066718758	0.042631566718187	0	0.0738958507772638	0	0	0.06437705906706	0	0.131358114623404	0.0505840187812408	0.0237119266207802	0.272531568785705	0	0.0100494515921956	0.0650200051384494	0	0	0.013243692613104	0.195	0.0690177262333775	1.0480625416674	2.866
GTEX-15UF7-0726-SM-6M46D	0.00979881090824196	0	0.00192373638193498	0.0292509764643242	0	0.0539686095265693	0	0	0.00323656066422253	0	0	0.0521457775855269	0.0473443635921078	0	0.0346075587687948	0.514805573515855	0.00270350805323837	0	0.24593731163345	0	0	0.00427721290573459	0.122	0.0949187750048249	1.0655425289483	1.685
GTEX-16BQI-1026-SM-7KUEA	0.178884998123714	0	0.0653417362169	0.0228296479351949	0	0.102078586534539	0	0.0463548367908567	0	0	0	0.038865280095115	0.0935033464139424	0.0024020348142747	0.0258947139797315	0.235925825128602	0	0	0.187918993967129	0	0	0	0.053	0.150217932524771	1.02156858646306	2.0655
