Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
GTEX-S3XE-0008-SM-3NM8O	0.0413150049979413	0	0.00131752077391605	0.00980754899982378	0	0.126485885264668	0	0	0.0133148128344245	0	0.0225972911496827	0.029992895089265	0.0282688464023872	0.0096999633230433	0.00690310279591883	0.0049213593669161	0	0	0	0.0258257690020134	0	0	0.904	-0.0247925624766935	1.13016196334111	0.32045
GTEX-S4P3-0008-SM-3NM8R	0.0375838593476846	0	0	0	0	0.080406519068182	0	0.0040727085432451	0.0140591088430587	0	0.027140942704357	0.00771601877969983	0.0184119913484803	0.00569126025397211	0.00508284869048522	0	0	0.0207841325829451	0	0.00216255683038479	0.000488053007505141	0	0.886	-0.0220562072890398	1.12002806267732	0.2236
GTEX-S4Q7-0008-SM-3NM8A	0.00126178015649287	0.00157764994804047	0	0.0241461168239389	0.0597285133488802	0.0395423601592373	0	0	0	0	0.035879300319015	0	0.00188152603991095	0.033691721184815	0.00224433427214685	0	0	0.0335027998530138	0	0.0467938978945087	0	0	0.921	-0.0277393715540889	1.12588485801477	0.28025
GTEX-S4UY-0008-SM-3NM8H	0.00628043186400485	0	0	0.00443717232871649	0	0.0655513139540989	0	0	0	0	0.00716781619890179	0	0.00343044409756115	0.0296054762636504	0	0	0	0.0474815008600027	0	0.0149958444330637	0	0	0.245	0.0573829633726838	1.08403749635205	0.17895
GTEX-S4Z8-0008-SM-33HAZ	0.017639264092195	0	0.000132939063909367	0	0.0027507855651163	0.147918463237304	0	0.002509436585978	0.000697526634219523	0	0.0121586865960313	0.0279273478003319	0.0189066424716912	0.0150104599495248	0.00126786208990601	0	0	0	0.00154360491675012	0	0	0.00283698099704266	0.53	0.0107747462127161	1.13905896443862	0.2513
GTEX-S7PM-0008-SM-3NM9Q	0.00328499490005706	0	0	0.0133123618607778	0.0156588930901206	0.0775675398524347	0	0	0	0	0.0269068559269799	0	0.00929107097740426	0.0772445419739925	0	0	0	0.0651780615740817	0	0.0310556798441515	0	0	0.449	0.0212358602782032	1.09674498973989	0.3195
GTEX-S7SE-0008-SM-33HB1	0	0	0	0.0158759783662475	0.0822753933655615	0.017495727416569	0	0	0	0	0.0204188839902998	0	0.00988278295423549	0.0374325943568587	0	0	0	0.077518639550228	0	0	0	0	0.914	-0.0268482032855251	1.137040397716	0.2609
GTEX-S7SF-0008-SM-3NM8T	0	0.00277628304465194	0	0.00499728733952295	0.031640332548776	0.0333326833109979	0	0	0	0	0.0193800631573837	0	0.00110643948010313	0.0586361229361809	0	0	0	0.0782960685112413	0	0.0264847196711421	0	0	0.51	0.0137820124323728	1.11363873443133	0.25665
GTEX-S95S-0008-SM-4AT5M	0.00792126011820675	0	0	0	0	0.115260524682979	0	0.00346754539169041	0.018200119777687	0	0.0495751989038343	0	0.0416109935157453	0.00820083421415869	0.00265770012827392	0	0	0.00324260303494306	0	0.0535132202324814	0	0	0.745	-0.0093537709435872	1.11701192821095	0.30365
GTEX-SE5C-0008-SM-4B64J	0	0.00373874932378908	0	0.00604186004993592	0.0792414312258968	0.0271266063230264	0	0	0	0	0.0173221018683051	0	0.0128424834883082	0.0322053241948842	0	0	0	0.0932399848829639	0.0022914586428905	0	0	0	0.96	-0.0344640785371843	1.14160884822234	0.27405
GTEX-SIU8-0008-SM-4BRUC	0	0	0.000526882633097726	0.00518678227920788	0.0297797367574232	0.102620992525625	0	0	0	0	0.040804159952462	0.00534903656992391	0.0145847820374536	0.0441930025530912	0	0	0	0.0367313500707661	0	0.0355600448621011	0	0.00241322975884867	0.735	-0.00844736721988838	1.11020110853693	0.31775
GTEX-SJXC-0008-SM-4DM7G	0.00995595299113628	0	0	0	0.0980394727069692	0.0453937542679625	0	0	0	0	0.0316802626388323	0	0	0.0262022072198209	0	0	0	0.0288533174778586	0	0.0172750326974202	0	0	0.823	-0.0167755598120225	1.12994021884164	0.2574
GTEX-SN8G-0008-SM-4DM4X	0	0.00807079504784578	0	0.00802239153091676	0.00791823143698506	0.0824946911786839	0	0	0	0	0.0237808557401195	0	0.00550303185981607	0.0563151886614336	0	0	0	0.0590654710175221	0	0.0306793435266772	0	0	0.392	0.031087710382368	1.09018482041454	0.28185
GTEX-SNMC-0008-SM-4DM5A	0	0.00386515981601184	0	0	0.0354045648886248	0.0581824075790072	0	0	0	0	0.0164457106856806	0	0.00115669360101504	0.0296131249866468	0	0	0	0.049076153265336	0	0.0266561851776778	0	0	0.736	-0.00852063086615438	1.11283413095311	0.2204
GTEX-SNOS-0008-SM-4DM6I	0.0020474542343053	0	0	0	0.0303162070337385	0.106611176244404	0	0	0	0	0.0258858034021966	0	0	0.121779460378375	0	0	0	0.0183035865392158	0	0.0429975854400546	0	0.00095872672771025	0.273	0.0520323077772092	1.09629208613449	0.3489
