SAMP2	COMMD3	pheno166.2	EXPR_BIN	PHENOTYPE
GTEX-X4LF	29.23	0.0560174029495793	[17.4,31.5]	0.0560174029495793
GTEX-X4XX	29.41	0.291977047328349	[17.4,31.5]	0.291977047328349
GTEX-X4XY	41	0.337174833093001	(37.1,61.6]	0.337174833093001
GTEX-X5EB	32.59	0.189347002073837	(31.5,37.1]	0.189347002073837
GTEX-X8HC	35.11	0.349104163305526	(31.5,37.1]	0.349104163305526
GTEX-XBED	32.78	0.073022523403406	(31.5,37.1]	0.073022523403406
GTEX-XBEW	43.09	0.117495547982229	(37.1,61.6]	0.117495547982229
GTEX-XGQ4	28.8	0.169321717786092	[17.4,31.5]	0.169321717786092
GTEX-XLM4	26.86	0.0219347614476369	[17.4,31.5]	0.0219347614476369
GTEX-XMK1	39.93	0.239969423051469	(37.1,61.6]	0.239969423051469
GTEX-XUW1	28.47	0.280114200697354	[17.4,31.5]	0.280114200697354
GTEX-XUZC	29.24	0.186202027272375	[17.4,31.5]	0.186202027272375
GTEX-XV7Q	37.43	0.175348158244116	(37.1,61.6]	0.175348158244116
GTEX-XXEK	30.64	0.267621259626898	[17.4,31.5]	0.267621259626898
GTEX-XYKS	50.47	0.0640656795259687	(37.1,61.6]	0.0640656795259687
GTEX-Y111	40.35	0.398708172678001	(37.1,61.6]	0.398708172678001
GTEX-Y114	29.38	0.00978506976583166	[17.4,31.5]	0.00978506976583166
GTEX-Y3I4	26.27	0.122701964019103	[17.4,31.5]	0.122701964019103
GTEX-Y3IK	37.21	0.390872797506022	(37.1,61.6]	0.390872797506022
GTEX-Y5LM	32.44	0.142295017410272	(31.5,37.1]	0.142295017410272
GTEX-Y5V5	34.53	0.0843052409233693	(31.5,37.1]	0.0843052409233693
GTEX-Y5V6	36.16	0.16063551110456	(31.5,37.1]	0.16063551110456
GTEX-Y8E4	34.23	0.102761481042936	(31.5,37.1]	0.102761481042936
GTEX-Y9LG	29.61	0.175937851122244	[17.4,31.5]	0.175937851122244
