tis	pheno	beta_age_cib.rel	p_age_cib.rel	beta_sex_cib.rel	p_sex_cib.rel	beta_age_cib.abs	p_age_cib.abs	beta_sex_cib.abs	p_sex_cib.abs	beta_age_xcell	p_age_xcell	beta_sex_xcell	p_sex_xcell	p_age_brown	p_sex_brown	age.coef_direc	sex.coef_direc	p_age_brown.fdr	p_sex_brown.fdr	phenotype	xcell.fdr	cib.abs.fdr	cib.rel.fdr	brown.fdr
Colon - Transverse	Bcellsum	-0.00694937158435946	0.144593318940186	-0.0105114551906202	0.361566749795176	-0.0396857564972981	0.0144279594371323	-0.0412906833528705	0.29097095743481	-0.0204197559008331	0.125423991141934	-0.0234824799991295	0.466014036361265	0.0452985612952175	0.385251074021776	-	-	0.194577911018093	0.625050211933289	Colon - Transverse-Bcellsum	0	0	0	0
Colon - Transverse	MastSum	-0.00441829252862969	0.387259907958741	-0.0120259656649402	0.331236282029439	-0.0275868611353686	0.0262881815966089	-0.0611978877645788	0.0416502525256335	-0.000316498026217452	0.290212819100611	-0.000985755340800667	0.174024549677907	0.108542490971071	0.0980169103635047	-	-	0.306187026769139	0.273415592066618	Colon - Transverse-MastSum	0	0	0	0
Colon - Transverse	Myeloid_Sum	0.0069152838658854	0.422233460832045	0.00508811561434736	0.807242773083162	-0.0379091675648192	0.121755351935964	-0.0972042228695795	0.101402078379	-0.0269150302887823	0.136682494291711	-0.0328826752932857	0.452036279610869	0.152754199985772	0.356479536895844	-	-	0.337902655033466	0.603483778249926	Colon - Transverse-Myeloid_Sum	0	0	0	0
Colon - Transverse	Monocytes	0.00285899515720207	0.298780212930541	0.004790685710558	0.471910607556982	0.000442152631709929	0.930530779957236	-0.00421726069766781	0.731347621237311	-0.00125000090367353	0.300144332916646	-0.00332142182497661	0.255673989563392	0.499111032979563	0.510499456256101	+	-	0.63310057203448	0.731255977880362	Colon - Transverse-Monocytes	0	0	0	0
Colon - Transverse	Lymph_Sum	-0.00691528386588539	0.422233460832045	-0.00508811561434736	0.807242773083162	-0.0937262101566059	0.028149117758496	-0.0764547152928779	0.457801805109935	-0.0213613004197916	0.190691805942663	-0.0358734988299833	0.363753851192928	0.114486541167989	0.554887666490594	-	-	0.310892952405322	0.765772718120661	Colon - Transverse-Lymph_Sum	0	0	0	0
Esophagus - Gastroesophageal Junction	MacrophageSum	-0.00356935945560168	0.557349621986712	0.0381034367407323	0.0129103439271414	0.00620896226200199	0.556431900170563	0.0427412760194369	0.106716299978903	0.000254954312229329	0.836731370921916	0.00634386523813596	0.0414531539069417	0.69902772688473	0.0244070581496146	+	+	0.774942508436963	0.110877778451106	Esophagus - Gastroesophageal Junction-MacrophageSum	0	0	1	0
Esophagus - Gastroesophageal Junction	MastSum	0.012703719437322	0.10705738014317	-0.0550408055376404	0.00554523043062161	0.025788374822892	0.0356757711240735	-0.0828677202944445	0.00719240710447554	0.000932453260749351	0.273306318130343	-0.00429141715114426	0.0446921405266639	0.0875133676742952	0.00691164811962443	+	-	0.271147975253144	0.0422673865777032	Esophagus - Gastroesophageal Junction-MastSum	0	1	1	1
Esophagus - Gastroesophageal Junction	Myeloid_Sum	0.00575825964845008	0.279942267211491	-0.0122979856711948	0.356571119771226	0.0314075121647529	0.0724757245938968	-0.0369621819628821	0.397280866954679	-0.00324650266966936	0.783001545035555	-0.0161763146673592	0.583729187378629	0.247306732378992	0.472958730811908	+	-	0.436831517940462	0.728089015977685	Esophagus - Gastroesophageal Junction-Myeloid_Sum	0	0	0	0
Esophagus - Gastroesophageal Junction	Monocytes	-0.00405988183574723	0.0742596864277533	-0.000861769222990463	0.87931417627935	-0.00195471096779796	0.568546724448347	-0.00315401184897181	0.713226010630728	0.000180931594630046	0.877987428411952	0.000253850644399587	0.931444510956727	0.352410279685641	0.932495035407099	-	-	0.517344499397128	0.938396902719802	Esophagus - Gastroesophageal Junction-Monocytes	0	0	0	0
Esophagus - Mucosa	T cells CD8	-0.00382311553105052	0.117848068134898	0.00291523310412376	0.630344246097253	-0.00459103463587332	0.41096939433232	-0.0123878309796046	0.371339236910758	-0.000968613148796994	0.461963524090866	-0.00560794635111566	0.0865751602018911	0.283044235372377	0.27106961091398	-	-	0.477637147190887	0.538750851691535	Esophagus - Mucosa-T cells CD8	0	0	0	0
Esophagus - Mucosa	CD4_memory	-0.00335868229773287	0.272405893724942	-0.00772750979496023	0.308802269226427	-0.0035244909007063	0.689779232254955	-0.0302935713634495	0.167258495392545	-0.000135731688633099	0.795569020904268	-0.000786029773363729	0.545490470311972	0.606673563761247	0.312567043726071	-	-	0.725704452853644	0.582055488544342	Esophagus - Mucosa-CD4_memory	0	0	0	0
Esophagus - Mucosa	MacrophageSum	0.00275095068183959	0.28111865554473	0.0208151102655776	0.00108776143233614	0.0075363445440862	0.255970308982343	0.00884305494757313	0.59091960633024	0.000551854906748332	0.509921353012249	-0.000415786480077364	0.841378949790424	0.34692473076049	0.0569826857960136	+	+	0.517344499397128	0.20591470549014	Esophagus - Mucosa-MacrophageSum	0	0	1	0
Esophagus - Mucosa	Bcellsum	-0.00543448871850963	0.0990059543388168	-0.0181407343423801	0.0266822173919896	-0.00675800313258374	0.360304629134313	-0.0485526922409257	0.00833147934769655	-0.00310334476668191	0.403233794638946	-0.03224783583397	0.00051059114927391	0.234035970505245	0.000781915732780282	-	-	0.422480992755148	0.00777028759450405	Esophagus - Mucosa-Bcellsum	1	1	0	1
Esophagus - Mucosa	DendriticSum	-0.00109119477543292	0.605341978704844	0.0220103858779959	3.24778690039128e-05	-0.00178894260112054	0.566885626886746	0.0278884714789813	0.000357788540430209	-0.00345838523537751	0.616481906425984	-0.00304206918672291	0.859064907727998	0.71852681656048	7.21679013195266e-05	-	+	0.774942508436963	0.000882668946908056	Esophagus - Mucosa-DendriticSum	0	1	1	1
Esophagus - Mucosa	MastSum	0.00632983576994458	0.139461247992612	-0.00823896921342486	0.437782600427472	0.00661694662151813	0.397240683885264	-0.0284568686201846	0.142686002357193	0.000174789008135249	0.503886655039957	-0.00251325482146645	0.000123988762359897	0.311312560972603	0.00662023580517103	+	-	0.498627745964592	0.0421046997208877	Esophagus - Mucosa-MastSum	1	0	0	1
Esophagus - Mucosa	Myeloid_Sum	0.0100752215451368	0.0375221305714003	0.0320027201206317	0.00786139974112498	0.0183161915600042	0.266472533439034	-0.0112711370617061	0.782722767936427	-0.0041483191736664	0.629361818694561	-0.0130867244907242	0.539532525893435	0.154383945949938	0.112528477592326	+	-	0.337902655033466	0.288581095760966	Esophagus - Mucosa-Myeloid_Sum	0	0	1	0
Esophagus - Mucosa	T cells follicular helper	0.000460378319379174	0.787113965733968	0.00105786728787249	0.802525470572047	-0.000833335591100046	0.813506621654986	-0.00403177559136683	0.645583363499536	-0.00497230043537736	0.0527445158643189	0.000123258256889255	0.984524937707507	0.337571423244809	0.895935583738504	-	-	0.51040799194615	0.93036401529524	Esophagus - Mucosa-T cells follicular helper	0	0	0	0
Esophagus - Mucosa	Monocytes	0.000814033910657569	0.667727192940665	-0.00432132226961342	0.358641071945765	0.0035733136241652	0.452842266531309	-0.0204396504795153	0.0840236057178569	0.000265088259783928	0.773253764099285	-0.00327409477176343	0.152056918502859	0.721639584576219	0.136063962029177	+	-	0.774942508436963	0.332833384040602	Esophagus - Mucosa-Monocytes	0	0	0	0
Esophagus - Mucosa	Lymph_Sum	-0.0100752215451368	0.0375221305714011	-0.0320027201206318	0.00786139974112479	-0.014058195796918	0.501539298222442	-0.111248079787875	0.0325417602874636	-0.00812519902845973	0.206588423322368	-0.037859705998804	0.0179994334859707	0.129404422991654	0.00484241673871971	-	-	0.317629038252241	0.0349974664298379	Esophagus - Mucosa-Lymph_Sum	0	0	1	1
