SMTSD	MacrophageSum.CIB_Abs
Adrenal Gland	0.577434817508401
Colon - Sigmoid	0.377841267136907
Breast - Mammary Tissue	0.421280761328998
Skin - Sun Exposed (Lower leg)	0.336327256257133
Muscle - Skeletal	0.0891044902216118
Pituitary	0.405262041872596
Brain - Cerebellum	0.0437294647017178
Brain - Cortex	0.161090826907835
Whole Blood	0.20819432200269
Liver	0.362733199449532
Adrenal Gland	0.581977480868518
Heart - Atrial Appendage	0.172705966133961
Artery - Aorta	0.416407532546559
Artery - Coronary	1.83436806823113
Heart - Left Ventricle	0.0752986793988785
Lung	2.50517650669384
Thyroid	0.438405818445214
Esophagus - Gastroesophageal Junction	0.215063833546615
Esophagus - Mucosa	0.0686890211479683
Small Intestine - Terminal Ileum	0.277770778777375
Adipose - Visceral (Omentum)	0.614695204099923
Colon - Sigmoid	0.372659314909842
Colon - Transverse	0.246187173194391
Prostate	0.182715483416637
Breast - Mammary Tissue	0.406291825236716
Skin - Not Sun Exposed (Suprapubic)	0.0870353734701704
Testis	0.0467149932885519
Skin - Sun Exposed (Lower leg)	0.0630431213092188
Muscle - Skeletal	0.0304667736794606
Nerve - Tibial	0.900480216293984
Artery - Tibial	0.278633689045423
Whole Blood	0.114560297983726
Skin - Sun Exposed (Lower leg)	0.103457214645501
Nerve - Tibial	0.608653547171495
Thyroid	0.0757742255504572
Artery - Coronary	0.621439211648007
Heart - Atrial Appendage	0.04219491104287
Artery - Aorta	0.354812885939641
Esophagus - Mucosa	0.0994849831336577
Esophagus - Muscularis	0.178443608021784
Skin - Not Sun Exposed (Suprapubic)	0.294922347789196
Esophagus - Gastroesophageal Junction	0.190352823796202
Adipose - Visceral (Omentum)	1.14592038903622
Prostate	0.0872543585395342
Brain - Cerebellum	0.0250432141876912
Pituitary	0.294596655427401
Skin - Sun Exposed (Lower leg)	0.327945368261031
Adipose - Subcutaneous	0.993547798875315
Breast - Mammary Tissue	0.389964122166858
Lung	1.22698266665405
Muscle - Skeletal	0.0391758615721867
Esophagus - Mucosa	0.309877602437421
Skin - Not Sun Exposed (Suprapubic)	0.652204921207572
Thyroid	0.517287090996698
Brain - Cerebellum	0.0559531135664602
Whole Blood	0.743207592596606
Skin - Sun Exposed (Lower leg)	0.220225354800743
Adipose - Subcutaneous	1.17078468792291
